tavg,count_tavg,outside_total,perc
15.5,1,1,1
18,1,1,1
19,1,1,1
19.5,1,0.5,0.5
20.5,2,2,1
21,1,1,1
23,2,2,1
23.5,2,1.5,0.75
24,1,1,1
24.5,1,1,1
25,1,1,1
26,1,0.5,0.5
26.5,1,0,0
28,1,1,1
28.5,2,1.5,0.75
29,1,1,1
29.5,3,1.5,0.5
30,1,0.5,0.5
30.5,3,3,1
31,3,1,0.3333333333
31.5,1,1,1
32,3,1.5,0.5
32.5,1,0.5,0.5
33.5,3,2,0.6666666667
34,1,1,1
34.5,1,1,1
35,1,1,1
36,2,2,1
37,2,1,0.5
37.5,2,1.5,0.75
38,2,1,0.5
38.5,3,2,0.6666666667
39,3,3,1
39.5,2,1,0.5
41,1,1,1
41.5,1,0,0
42,1,1,1
42.5,1,0,0
43.5,2,1,0.5
44,1,1,1
44.5,2,1,0.5
45,1,0.5,0.5
45.5,1,1,1
46,3,2.5,0.8333333333
46.5,1,0.5,0.5
47,1,0,0
47.5,3,3,1
48,1,1,1
48.5,1,1,1
49,2,2,1
49.5,1,1,1
50.5,2,2,1
51,2,2,1
51.5,1,1,1
52,2,2,1
53,2,1,0.5
53.5,1,1,1
55.5,2,2,1
57,2,2,1
57.5,1,1,1
58.5,1,0.5,0.5
59.5,1,1,1
62,2,2,1